dataset;classifier;f1_measure
DS1-Q1;Drink2Symbol-SVM;89.834
DS1-Q1;Drink2Vec-DNN;93.919
DS1-Q1;Drink2Vec-SVM;94.453
DS1-Q1;Drink2Vec-XGBoost;93.318
DS1-Q1;CNN Direct;87.763
DS1-Q1;Bi-LSTM Direct;85.729
DS1-Q1;BERT;91.993
DS1-Q2;Drink2Symbol-SVM;89.057
DS1-Q2;Drink2Vec-DNN;93.072
DS1-Q2;Drink2Vec-SVM;93.435
DS1-Q2;Drink2Vec-XGBoost;92.497
DS1-Q2;CNN Direct;86.107
DS1-Q2;Bi-LSTM Direct;84.731
DS1-Q2;BERT;88.893
DS1-Q3;Drink2Symbol-SVM;88.037
DS1-Q3;Drink2Vec-DNN;89.107
DS1-Q3;Drink2Vec-SVM;90.080
DS1-Q3;Drink2Vec-XGBoost;88.832
DS1-Q3;CNN Direct;79.516
DS1-Q3;Bi-LSTM Direct;78.389
DS1-Q3;BERT;78.384
DS2;Drink2Symbol-SVM;80.767
DS2;Drink2Vec-DNN;85.729
DS2;Drink2Vec-SVM;88.695
DS2;Drink2Vec-XGBoost;88.226
DS2;CNN Direct;81.400
DS2;Bi-LSTM Direct;79.180
DS2;BERT;88.490
DS3;Drink2Symbol-SVM;82.854
DS3;Drink2Vec-DNN;88.437
DS3;Drink2Vec-SVM;88.440
DS3;Drink2Vec-XGBoost;88.016
DS3;CNN Direct;79.972
DS3;Bi-LSTM Direct;77.539
DS3;BERT;83.844
